Date,Type,RefNo,Cur,TUPrice,ODAmt,Amt,Worth,Customer Code,StkISN,CatCode,Exchange Rate,Quantity,Profit,Country
1/2/2015,ICG,133482,S$,0,20250,-20250,-17453.51,IY03,10126,MH,1,inf,2796.49,Indonesia
1/2/2015,ICG,133482,S$,22.5,540,-540,-440.84,IY03,10011,BN,1,24,99.16,Indonesia
1/2/2015,ICG,133482,S$,22.5,180,-180,-148.16,IY03,10010,BN,1,8,31.84,Indonesia
1/2/2015,ICG,133482,S$,22.5,180,-180,-146.95,IY03,10008,BN,1,8,33.05,Indonesia
1/2/2015,ICG,133482,S$,22.5,180,-180,-150.46,IY03,10012,BN,1,8,29.54,Indonesia
1/2/2015,ICG,133483,S$,15.9,7950,-7950,-6000,IL12,40366,TN,1,500,1950,Indonesia
1/2/2015,ICG,133483,S$,13.9,4170,-4170,-3300,IL12,46601,TN,1,300,870,Indonesia
1/2/2015,ICG,133484,S$,12.3,3075,-3075,-2750,MC09,43022,TN,1,250,325,Malaysia
1/2/2015,ICG,133484,S$,12.1,2420,-2420,-2200,MC09,10497,TN,1,200,220,Malaysia
1/2/2015,ICG,133484,S$,12.3,2460,-2460,-2240,MC09,40888,TN,1,200,220,Malaysia
1/2/2015,ICG,133484,S$,4.8,311.04,-311.04,-252.1,MC09,10360,PR04,1,64.8,58.94,Malaysia
1/2/2015,ICG,133484,S$,4.8,132.48,-132.48,-104.22,MC09,45154,SPL3.5,1,27.6,28.26,Malaysia
1/2/2015,ICG,133484,S$,4.8,19.2,-19.2,-14.95,MC09,45152,SPL3.5,1,4,4.25,Malaysia
1/2/2015,ICG,133484,S$,4.8,58.08,-58.08,-43.58,MC09,45151,SPL3.5,1,12.1,14.5,Malaysia
1/2/2015,ICG,133484,S$,4.8,129.12,-129.12,-105.57,MC09,45153,SPL3.5,1,26.9,23.55,Malaysia
1/2/2015,ICG,133484,S$,2.5,672.25,-672.25,-546.31,MC09,30262,PR04,1,268.9,125.94,Malaysia
1/2/2015,ICG,133484,S$,4.2,1348.62,-1348.62,-858.26,MC09,40724,PPDR,1,321.1,490.36,Malaysia
1/2/2015,ICG,133484,S$,4.2,1010.94,-1010.94,-643.02,MC09,40725,PPDR,1,240.7,367.92,Malaysia
1/2/2015,ICG,133484,S$,4.2,844.62,-844.62,-535.23,MC09,40861,PPDR,1,201.1,309.39,Malaysia
1/2/2015,ICG,133484,S$,3.4,565.42,-565.42,-437.69,MC09,10466,PPDR,1,166.3,127.73,Malaysia
1/2/2015,ICG,133484,S$,22.5,225,-225,-191.68,MC09,10005,BN,1,10,33.32,Malaysia
1/2/2015,ICG,133484,S$,22.5,225,-225,-184.67,MC09,10006,BN,1,10,40.33,Malaysia
1/2/2015,ICG,133484,S$,22.5,225,-225,-183.68,MC09,10008,BN,1,10,41.32,Malaysia
1/2/2015,ICG,133484,S$,310,620,-620,-390.89,MC09,42597,ML,1,2,229.11,Malaysia
1/2/2015,ICG,133484,S$,310,930,-930,-579.35,MC09,42598,ML,1,3,350.65,Malaysia
1/2/2015,ICG,133484,S$,310,620,-620,-391.51,MC09,10128,ML,1,2,228.49,Malaysia
1/2/2015,ICG,133484,S$,4.2,170.52,-170.52,-122.55,MC09,45109,PR03,1,40.6,47.97,Malaysia
1/2/2015,ICG,133484,S$,4.2,168,-168,-121.35,MC09,10340,PR03,1,40,46.65,Malaysia
1/2/2015,ICG,133484,S$,4.2,168.84,-168.84,-112.67,MC09,45108,PR03,1,40.2,56.17,Malaysia
1/2/2015,ICG,133484,S$,4.2,171.36,-171.36,-119.98,MC09,45111,PR03,1,40.8,51.38,Malaysia
1/2/2015,ICG,133484,S$,4.2,173.88,-173.88,-123.29,MC09,45110,PR03,1,41.4,50.59,Malaysia
1/2/2015,ICG,133484,S$,25,250,-250,-192.57,MC09,44895,NMCN,1,10,57.43,Malaysia
1/2/2015,ICG,133484,S$,35,350,-350,-224.09,MC09,44237,NMCN,1,10,125.91,Malaysia
1/2/2015,ICG,133484,S$,47,470,-470,-339.66,MC09,44240,NMCN,1,10,130.34,Malaysia
1/2/2015,ICG,133484,S$,40.5,283.5,-283.5,-209.33,MC09,44239,NMCN,1,7,74.17,Malaysia
1/3/2015,ICG,133485,S$,6.3,4769.1,-4769.1,-3717.92,IT04,46548,M025,1,757,1051.18,Indonesia
1/3/2015,ICG,133485,S$,6.3,26460,-26460,-20627.84,IT04,46445,M025,1,4200,5832.16,Indonesia
1/3/2015,ICG,133485,S$,10,2100,-2100,-1579.23,IT04,45635,M033,1,210,520.77,Indonesia
1/3/2015,ICG,133485,S$,10.5,3307.5,-3307.5,-2452.7,IT04,46065,M033,1,315,854.8,Indonesia
1/3/2015,ICG,133485,S$,6.2,3124.8,-3124.8,-2408.26,IT04,46566,M026,1,504,716.54,Indonesia
1/3/2015,ICG,133485,S$,3.8,1140,-1140,-575.12,IT04,40749,SSS,1,300,564.88,Indonesia
